day,baseline,egalitarian,maximin,utilitarian
1.0,0.0,0.0,0.0,0.0
2.0,0.0015,0.0105,0.0055,0.0065
3.0,0.01,0.091,0.092,0.056
4.0,0.01,0.183,0.182,0.1435
5.0,0.013,0.2975,0.239,0.1845
6.0,0.031,0.4265,0.284,0.245
7.0,0.106,0.6375,0.411,0.357
8.0,0.2025,0.8865,0.6455,0.484
9.0,0.23,1.026,0.9,0.683
10.0,1.0109649122807018,1.2344497607655502,1.2424568965517242,1.2213740458015268
11.0,1.0417582417582418,1.3531618435155413,1.3495702005730659,1.3324444444444445
12.0,1.0967032967032968,1.504823151125402,1.419054441260745,1.4328888888888889
13.0,1.1912087912087912,1.7009646302250805,1.592406876790831,1.5804444444444445
14.0,1.2659340659340659,1.8960342979635585,1.816618911174785,1.7573333333333334
15.0,1.323076923076923,2.039657020364416,2.0121776504297992,1.9404444444444444
16.0,2.0422535211267605,2.262295081967213,2.3103864734299515,2.3136743215031315
17.0,2.091549295774648,2.3867638129933213,2.391627906976744,2.4396135265700485
18.0,2.176056338028169,2.5531268973891925,2.4567441860465116,2.566425120772947
19.0,2.3380281690140845,2.7413479052823315,2.638139534883721,2.7342995169082127
20.0,2.3943661971830985,2.920461445051609,2.836279069767442,2.907004830917874
21.0,2.5,3.0608272506082725,3.0104166666666665,3.0891330891330893
22.0,3.090909090909091,3.3274273564847627,3.3780068728522337,3.413290113452188
23.0,3.1515151515151514,3.455705173635719,3.4451450189155106,3.5403348554033487
24.0,3.257575757575758,3.630049610205528,3.528373266078184,3.680365296803653
25.0,3.4242424242424243,3.799433026222537,3.6923076923076925,3.835616438356164
26.0,3.515151515151515,3.9588944011339477,3.887767969735183,4.006088280060883
27.0,3.6818181818181817,4.109452736318408,4.088772845953002,4.169984686064319
28.0,4.119047619047619,4.403333333333333,4.417618270799347,4.493827160493828
29.0,4.261904761904762,4.539166666666667,4.489396411092986,4.636871508379889
30.0,4.309523809523809,4.693333333333333,4.582381729200653,4.778398510242086
31.0,4.428571428571429,4.85,4.768352365415987,4.945996275605214
32.0,4.523809523809524,5.001666666666667,4.969004893964111,5.100558659217877
33.0,4.666666666666667,5.176470588235294,5.159246575342466,5.278095238095238
34.0,5.269230769230769,5.47809152872444,5.494692144373673,5.5626204238921
35.0,5.269230769230769,5.624148003894839,5.588110403397027,5.710019267822736
36.0,5.423076923076923,5.7974683544303796,5.704883227176221,5.855263157894737
37.0,5.615384615384615,5.963972736124635,5.876857749469214,6.06359649122807
38.0,5.846153846153846,6.103213242453749,6.033970276008493,6.2244701348747595
39.0,6.057644110275689,6.247796278158668,6.256124721603563,6.349657198824682
40.0,6.318181818181818,6.561304836895388,6.564356435643564,6.621295279912184
41.0,6.409090909090909,6.6985376827896514,6.659574468085107,6.756892230576441
42.0,6.5,6.87289088863892,6.803191489361702,6.9072681704260654
43.0,6.636363636363637,7.047244094488189,6.960106382978723,7.120300751879699
44.0,6.818181818181818,7.2013498312710915,7.098404255319149,7.261251372118551
45.0,7.045454545454546,7.379661016949153,7.315642458100559,7.383240223463687
46.0,7.343537414965986,7.6464019851116625,7.63215859030837,7.663316582914573
47.0,7.482993197278912,7.770471464019852,7.745704467353952,7.818867924528302
48.0,7.670068027210885,7.933002481389578,7.821305841924398,7.988679245283019
49.0,7.823529411764706,8.089330024813895,7.993127147766323,8.158490566037736
50.0,7.9727891156462585,8.23076923076923,8.161512027491408,8.30440251572327
