day,baseline,egalitarian,maximin,utilitarian
1.0,7.366183091545773,7.360180090045023,7.32416208104052,7.063031515757879
2.0,7.140500000000001,7.377500000000001,7.455500000000001,6.582500000000001
3.0,6.851500000000001,7.5175,7.4005,7.139500000000001
4.0,7.2975,7.8915,7.6935,7.6215
5.0,7.395500000000001,7.8995,7.8185,8.0075
6.0,7.277500000000002,7.919500000000001,7.7875000000000005,7.949500000000001
7.0,6.922500000000002,7.696500000000001,7.717500000000001,7.687500000000001
8.0,6.558500000000002,7.389500000000001,7.644500000000001,7.395500000000001
9.0,6.407000000000001,7.140000000000001,7.522000000000001,7.384500000000001
10.0,6.8168498168498175,7.491255144032923,7.826242952332138,8.120619946091644
11.0,7.236002093144952,7.867798353909466,8.016401845207588,8.353773584905662
12.0,7.3882783882783905,7.988168724279836,8.077396207073297,8.429245283018869
13.0,7.414965986394559,7.843106995884774,8.046130189646336,8.456199460916443
14.0,7.501308215593932,7.543724279835392,7.833418759610457,8.402291105121293
15.0,7.473050758765045,7.213477366255145,7.767811378780113,8.297843665768195
16.0,7.954159592529715,7.833960236432027,8.189030883919063,8.995552260934025
17.0,8.203825136612023,8.030091348737239,8.409478168264112,9.30763528539659
18.0,8.246179966044144,8.123052122514778,8.326411075612354,9.339510748702743
19.0,8.203735144312397,8.01934443847394,8.256123535676252,9.15344699777613
20.0,8.174316939890712,7.854379365932296,8.12513312034079,9.051890289103039
21.0,8.195578231292519,7.544378698224853,8.044776119402986,9.121279761904763
22.0,8.684985835694054,8.09521094640821,8.461926091825308,9.758128469468677
23.0,8.725941422594143,8.333523375142532,8.587346024636059,9.838223632038066
24.0,8.755230125523015,8.431584948688712,8.527995520716685,9.980174464710547
25.0,8.633891213389123,8.368871151653364,8.485442329227324,10.031720856463124
26.0,8.474895397489542,8.159064994298747,8.241321388577827,10.01665344964314
27.0,8.179916317991635,8.017754868270334,8.20753655793026,10.005165289256198
28.0,8.541371158392437,8.619366626065775,8.741837968561065,10.700263852242744
29.0,8.789598108747047,8.78501827040195,8.848246674727932,10.70712401055409
30.0,8.966903073286055,8.844701583434837,8.853083434099153,10.821635883905014
31.0,9.035924617196702,8.813032886723509,8.723700120918984,10.90448548812665
32.0,8.640164899882215,8.638855054811208,8.510882708585248,10.752240717029448
33.0,8.234042553191491,8.648897058823529,8.513447432762835,10.745367919534145
34.0,8.475065616797902,9.399070385126162,9.078993055555554,11.150780829294561
35.0,8.813648293963256,9.53452855245684,8.81857638888889,11.330102315562735
36.0,8.883322764743184,9.590305444887118,8.66232638888889,11.334948842218632
37.0,8.697526949904884,9.550464807436919,8.39670138888889,11.430263866451266
38.0,8.329105897273305,9.251660026560424,8.355034722222221,11.314393939393934
39.0,8.137704918032787,9.225935828877006,8.226898444647757,11.391702586206895
40.0,8.677068214804065,10.097722263041879,9.259908536585364,11.860787576261783
41.0,8.634978229317852,10.270389419544452,9.105206073752711,12.048807542983914
42.0,8.531930333817126,10.354886113152093,8.918655097613883,12.103716028840818
43.0,8.045718432510885,10.315944158706833,8.7202743902439,12.13865779256794
44.0,7.555152394775036,9.93754592211609,8.685213414634143,12.010537992235161
45.0,7.683965917893106,9.862527716186252,8.720638540478904,12.172605790645878
46.0,8.54056517775752,10.978119935170177,9.75411334552102,12.850316637881402
47.0,8.251595259799453,11.22285251215559,9.609689213893963,12.938399539435807
48.0,7.929808568824066,11.180713128038896,9.45978062157221,13.050662061024752
49.0,7.558796718322698,11.09481361426256,9.12340036563071,13.156016119746688
50.0,7.078395624430264,10.87277147487844,8.929616087751368,13.005757052389173
