day,baseline,egalitarian,maximin,utilitarian,all_principles,multiobjective_mp
1.0,7.12012012012012,7.0,7.126126126126126,7.15015015015015,7.006006006006006,7.192192192192192
2.0,6.595000000000001,6.511000000000001,6.715000000000001,6.463000000000001,6.181000000000001,6.817000000000001
3.0,6.393000000000001,6.429000000000001,6.297000000000001,5.979000000000001,5.781000000000001,6.429000000000001
4.0,6.4430000000000005,6.407000000000001,6.347000000000001,5.9990000000000006,5.843000000000001,6.407000000000001
5.0,6.577000000000001,6.523000000000001,6.331000000000001,6.025000000000001,6.031000000000001,6.349000000000001
6.0,6.495000000000002,6.537000000000001,6.267000000000002,6.075000000000002,6.231000000000002,6.417000000000001
7.0,6.2810000000000015,6.503000000000001,6.071000000000001,6.017000000000002,5.831000000000001,6.227000000000001
8.0,6.013000000000001,6.343000000000001,5.7970000000000015,5.695000000000002,5.695000000000002,6.127000000000002
9.0,5.767000000000001,6.075000000000001,5.3660000000000005,5.485000000000001,5.157000000000001,5.790000000000001
10.0,5.906293706293708,6.2625437572928835,5.56575963718821,5.782167042889392,5.945113788487284,6.145394006659268
11.0,6.033613445378153,6.670045045045046,5.558956916099775,5.831828442437925,6.024128686327079,6.157602663706994
12.0,6.151260504201682,6.757882882882884,5.6405895691609995,5.989841986455984,6.077747989276141,6.223085460599336
13.0,6.268907563025212,6.791666666666668,5.599773242630388,5.768623024830702,5.664879356568366,6.115427302996673
14.0,6.142857142857144,6.609234234234235,5.334467120181408,5.662528216704291,5.356568364611262,5.967813540510546
15.0,5.841736694677873,6.551925320886816,5.037414965986396,5.411963882618513,5.1139410187667576,5.883462819089901
16.0,6.3117338003502645,7.048302872062665,5.817403708987163,5.802096985583226,6.886227544910182,6.288113695090441
17.0,6.4781085814360795,7.270234986945172,5.802857142857145,5.926605504587158,6.856287425149702,6.326873385012922
18.0,6.329246935201403,7.26631158455393,5.857142857142859,5.854521625163829,6.658682634730541,6.381136950904395
19.0,6.232924693520142,7.320905459387484,5.894285714285717,5.727391874180869,6.401197604790421,6.226098191214473
20.0,6.189141856392297,7.207723035952065,5.7428571428571455,5.65530799475754,6.155688622754493,6.086563307493543
21.0,6.166666666666668,7.105882352941179,5.404285714285717,5.420707732634341,5.934000000000001,6.032299741602069
22.0,6.769230769230771,7.613409415121258,6.254143646408842,5.881172839506176,7.442622950819674,6.664605873261208
23.0,6.773755656108599,7.828815977175466,6.292817679558014,5.83487654320988,7.459016393442624,6.873065015479879
24.0,6.873303167420817,7.8388017118402304,6.519337016574588,5.9089506172839545,7.360655737704919,6.764705882352944
25.0,7.040723981900454,7.9275590551181105,6.524861878453041,5.853395061728398,7.196721311475411,6.535603715170281
26.0,6.923076923076925,7.70236220472441,6.508287292817682,5.557098765432103,6.885245901639346,6.5386996904024794
27.0,6.79638009049774,7.696709585121605,6.084870848708489,5.475308641975312,6.660220994475139,6.317829457364343
28.0,7.397183098591552,8.224427480916033,6.704805491990848,6.232075471698117,8.101818181818182,7.0915619389587095
