,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms
0,0,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,[0 0 0 0],
0,1,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,[0 0 0 0],
0,2,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,[0 0 0 0],
0,3,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,[0 0 0 0],
0,0,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,[0 0 0 0],
0,1,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,[0 0 0 0],
0,2,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,[0 0 0 0],
0,3,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,[0 0 0 0],
0,0,1,4,1,0,0,0.5000000000000001,11.0,32.0,0,[0.8 0.  0.  0. ],
0,1,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,[0 0 0 0],
0,2,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,[0 0 0 0],
0,3,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,[0 0 0 0],
0,0,1,5,1,0,0,0.40000000000000013,10.0,42.0,2,[-0.1  0.   0.   0. ],
0,1,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,[0 0 0 0],
0,2,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,[0 0 0 0],
0,3,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,[0 0 0 0],
0,0,1,6,0,1,0,0.9,9.0,51.0,1,[0.8 0.  0.  0. ],
0,1,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,[0 0 0 0],
0,2,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,[0 0 0 0],
0,3,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,[0 0 0 0],
0,0,1,7,0,1,0,0.8,8.0,59.0,0,[0 0 0 0],
0,1,1,7,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,[0 0 0 0],
0,2,1,7,1,0,0,0.20000000000000015,8.000000000000002,41.0,0,[0.8 0.  0.  0. ],
0,3,1,7,1,0,0,0.20000000000000015,8.000000000000002,41.0,0,[0.8 0.  0.  0. ],
0,0,1,8,0,1,0,0.7000000000000001,7.0,66.0,0,[0 0 0 0],
0,1,1,8,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,[0 0 0 0],
0,2,1,8,0,1,0,0.7000000000000002,7.000000000000002,48.0,1,[0.8 0.  0.  0. ],
0,3,1,8,0,1,0,0.7000000000000002,7.000000000000002,48.0,1,[0.8 0.  0.  0. ],
0,0,1,9,1,1,0,0.6000000000000001,12.000000000000002,78.0,0,[0.8 0.  0.  0. ],
0,1,1,9,1,0,0,1.3877787807814457e-16,6.000000000000001,42.0,0,[0.8 0.  0.  0. ],
0,2,1,9,0,1,0,0.6000000000000002,6.000000000000002,54.0,0,[0 0 0 0],
0,3,1,9,0,1,0,0.6000000000000002,6.000000000000002,54.0,0,[0 0 0 0],
0,0,1,10,0,1,1,0.5000000000000001,5.000000000000001,83.0,2,[0.5 0.  0.  0. ],
0,1,1,10,0,2,0,1.1,11.0,53.0,1,[0.8 0.  0.  0. ],
0,2,1,10,1,1,0,0.5000000000000002,11.0,65.0,0,[0.8 0.  0.  0. ],
0,3,1,10,1,1,0,0.5000000000000002,11.0,65.0,0,[0.8 0.  0.  0. ],
0,0,1,11,0,1,1,0.40000000000000013,4.000000000000001,87.0,0,[0 0 0 0],
0,1,1,11,0,2,0,1.0,10.0,63.0,0,[0 0 0 0],
0,2,1,11,1,1,0,0.40000000000000024,10.000000000000002,75.0,4,[-0.1  0.   0.   0. ],
0,3,1,11,1,1,0,0.40000000000000024,10.000000000000002,75.0,4,[-0.1  0.   0.   0. ],
0,0,1,12,0,1,1,0.30000000000000016,3.0000000000000013,90.0,0,[0 0 0 0],
0,1,1,12,0,2,0,0.9,9.0,72.0,0,[0 0 0 0],
0,2,1,12,0,2,0,0.9000000000000002,9.000000000000002,84.0,1,[0.8 0.  0.  0. ],
0,3,1,12,1,1,0,0.30000000000000027,9.000000000000002,84.0,4,[-0.1  0.   0.   0. ],
0,0,1,13,0,1,1,0.20000000000000015,2.0000000000000013,92.0,0,[0 0 0 0],
0,1,1,13,0,2,0,0.8,8.0,80.0,0,[0 0 0 0],
0,2,1,13,0,2,0,0.8000000000000003,8.000000000000002,92.0,0,[0 0 0 0],
0,3,1,13,0,2,0,0.8000000000000003,8.000000000000002,92.0,1,[0.8 0.  0.  0. ],
0,0,1,14,0,1,1,0.10000000000000014,1.0000000000000013,93.0,0,[0 0 0 0],
0,1,1,14,0,2,0,0.7000000000000001,7.0,87.0,0,[0 0 0 0],
0,2,1,14,1,2,0,0.7000000000000003,13.000000000000002,105.0,0,[0.8 0.  0.  0. ],
0,3,1,14,0,2,0,0.7000000000000003,7.000000000000003,99.0,0,[0 0 0 0],
0,0,1,15,1,1,1,1.3877787807814457e-16,6.000000000000001,99.0,0,[0.8 0.  0.  0. ],
0,1,1,15,1,2,0,0.6000000000000001,12.000000000000002,99.0,0,[0.8 0.  0.  0. ],
0,2,1,15,0,3,0,1.2000000000000002,12.000000000000002,117.0,1,[0.8 0.  0.  0. ],
0,3,1,15,0,2,0,0.6000000000000003,6.000000000000003,105.0,0,[0 0 0 0],
0,0,1,16,0,2,1,0.5000000000000001,5.000000000000001,104.0,1,[0.8 0.  0.  0. ],
0,1,1,16,0,3,0,1.1,11.0,110.0,1,[0.8 0.  0.  0. ],
0,2,1,16,0,3,0,1.1,11.0,128.0,0,[0 0 0 0],
0,3,1,16,0,2,0,0.5000000000000003,5.000000000000003,110.0,0,[0 0 0 0],
0,0,1,17,0,2,1,0.40000000000000013,4.000000000000001,108.0,0,[0 0 0 0],
0,1,1,17,0,3,0,1.0,10.0,120.0,0,[0 0 0 0],
0,2,1,17,0,3,0,1.0,10.0,138.0,0,[0 0 0 0],
0,3,1,17,0,2,0,0.40000000000000036,4.0000000000000036,114.0,0,[0 0 0 0],
0,0,1,18,1,2,1,0.30000000000000016,9.0,117.0,0,[0.8 0.  0.  0. ],
0,1,1,18,0,3,0,0.9,9.0,129.0,0,[0 0 0 0],
0,2,1,18,0,3,0,0.9,9.0,147.0,0,[0 0 0 0],
0,3,1,18,0,2,0,0.3000000000000004,3.0000000000000036,117.0,0,[0 0 0 0],
0,0,1,19,0,3,1,0.8000000000000002,8.000000000000002,125.0,1,[0.8 0.  0.  0. ],
0,1,1,19,0,3,0,0.8,8.0,137.0,0,[0 0 0 0],
0,2,1,19,1,3,0,0.8,13.999999999999998,161.0,0,[0.8 0.  0.  0. ],
0,3,1,19,0,2,0,0.20000000000000037,2.0000000000000036,119.0,0,[0 0 0 0],
0,0,1,20,0,3,1,0.7000000000000002,7.000000000000002,132.0,0,[0 0 0 0],
0,1,1,20,0,3,0,0.7000000000000001,7.0,144.0,0,[0 0 0 0],
0,2,1,20,0,4,0,1.2999999999999998,12.999999999999998,174.0,1,[0.8 0.  0.  0. ],
0,3,1,20,0,2,0,0.10000000000000037,1.0000000000000036,120.0,0,[0 0 0 0],
0,0,1,21,0,3,1,0.6000000000000002,6.000000000000002,138.0,0,[0 0 0 0],
0,1,1,21,0,3,0,0.6000000000000001,6.000000000000001,150.0,0,[0 0 0 0],
0,2,1,21,0,4,0,1.1999999999999997,11.999999999999996,186.0,0,[0 0 0 0],
0,3,1,21,0,2,0,3.608224830031759e-16,3.608224830031759e-15,120.0,0,[0 0 0 0],
0,0,1,22,1,3,1,0.5000000000000002,11.0,149.0,0,[0.8 0.  0.  0. ],
0,1,1,22,0,3,0,0.5000000000000001,5.000000000000001,155.0,0,[0 0 0 0],
0,2,1,22,0,4,0,1.0999999999999996,10.999999999999996,197.0,0,[0 0 0 0],
0,3,1,22,0,2,0,0,0,120.0,0,[-1  0  0  0],
0,0,1,23,0,4,1,1.0,10.0,159.0,1,[0.8 0.  0.  0. ],
0,1,1,23,1,3,0,0.40000000000000013,10.0,165.0,0,[0.8 0.  0.  0. ],
0,2,1,23,0,4,0,0.9999999999999997,9.999999999999996,207.0,0,[0 0 0 0],
0,0,1,24,0,4,1,0.9,9.0,168.0,0,[0 0 0 0],
0,1,1,24,0,4,0,0.9,9.0,174.0,1,[0.8 0.  0.  0. ],
0,2,1,24,0,4,0,0.8999999999999997,8.999999999999996,216.0,0,[0 0 0 0],
0,0,1,25,0,4,1,0.8,8.0,176.0,0,[0 0 0 0],
0,1,1,25,0,4,0,0.8,8.0,182.0,0,[0 0 0 0],
0,2,1,25,0,4,0,0.7999999999999997,7.9999999999999964,224.0,0,[0 0 0 0],
0,0,1,26,1,4,1,0.7000000000000001,13.0,189.0,0,[0.8 0.  0.  0. ],
0,1,1,26,0,4,0,0.7000000000000001,7.0,189.0,0,[0 0 0 0],
0,2,1,26,1,4,0,0.6999999999999997,12.999999999999998,237.0,0,[0.8 0.  0.  0. ],
0,0,1,27,1,4,1,0.6000000000000001,12.000000000000002,201.0,0,[0 0 0 0],
0,1,1,27,0,4,0,0.6000000000000001,6.000000000000001,195.0,0,[0 0 0 0],
0,2,1,27,0,5,0,1.1999999999999997,11.999999999999996,249.0,1,[0.8 0.  0.  0. ],
0,0,1,28,1,4,1,0.5000000000000001,11.0,212.0,0,[0 0 0 0],
0,1,1,28,1,4,0,0.5000000000000001,11.0,206.0,0,[0.8 0.  0.  0. ],
0,2,1,28,0,5,0,1.0999999999999996,10.999999999999996,260.0,0,[0 0 0 0],
0,0,1,29,0,5,1,1.0,10.0,222.0,1,[0.8 0.  0.  0. ],
0,1,1,29,0,5,0,1.0,10.0,216.0,1,[0.8 0.  0.  0. ],
0,2,1,29,0,5,0,0.9999999999999997,9.999999999999996,270.0,0,[0 0 0 0],
0,0,1,30,1,5,1,0.9,15.0,237.0,0,[0.8 0.  0.  0. ],
0,1,1,30,0,5,0,0.9,9.0,225.0,0,[0 0 0 0],
0,2,1,30,1,5,0,0.8999999999999997,14.999999999999995,285.0,0,[0.8 0.  0.  0. ],
0,0,1,31,1,5,1,0.8,13.999999999999998,251.0,0,[0 0 0 0],
0,1,1,31,0,5,0,0.8,8.0,233.0,0,[0 0 0 0],
0,2,1,31,0,6,0,1.3999999999999995,13.999999999999995,299.0,1,[0.8 0.  0.  0. ],
0,0,1,32,0,6,1,1.2999999999999998,12.999999999999998,264.0,1,[0.8 0.  0.  0. ],
0,1,1,32,0,5,0,0.7000000000000001,7.0,240.0,0,[0 0 0 0],
0,2,1,32,0,6,0,1.2999999999999994,12.999999999999993,312.0,0,[0 0 0 0],
0,0,1,33,0,6,1,1.1999999999999997,11.999999999999996,276.0,0,[0 0 0 0],
0,1,1,33,1,5,0,0.6000000000000001,12.000000000000002,252.0,0,[0.8 0.  0.  0. ],
0,2,1,33,0,6,0,1.1999999999999993,11.999999999999993,324.0,0,[0 0 0 0],
0,0,1,34,1,6,1,1.0999999999999996,16.999999999999996,293.0,0,[0.8 0.  0.  0. ],
0,1,1,34,0,6,0,1.1,11.0,263.0,1,[0.8 0.  0.  0. ],
0,2,1,34,0,6,0,1.0999999999999992,10.999999999999991,335.0,0,[0 0 0 0],
0,0,1,35,0,7,1,1.5999999999999996,15.999999999999996,309.0,1,[0.8 0.  0.  0. ],
0,1,1,35,0,6,0,1.0,10.0,273.0,0,[0 0 0 0],
0,2,1,35,0,6,0,0.9999999999999992,9.999999999999991,345.0,0,[0 0 0 0],
0,0,1,36,0,7,1,1.4999999999999996,14.999999999999995,324.0,0,[0 0 0 0],
0,1,1,36,0,6,0,0.9,9.0,282.0,0,[0 0 0 0],
0,2,1,36,0,6,0,0.8999999999999992,8.999999999999991,354.0,0,[0 0 0 0],
0,0,1,37,0,7,1,1.3999999999999995,13.999999999999995,338.0,0,[0 0 0 0],
0,1,1,37,0,6,0,0.8,8.0,290.0,0,[0 0 0 0],
0,2,1,37,1,6,0,0.7999999999999993,13.999999999999991,368.0,0,[0.8 0.  0.  0. ],
0,0,1,38,0,7,1,1.2999999999999994,12.999999999999993,351.0,0,[0 0 0 0],
0,1,1,38,1,6,0,0.7000000000000001,13.0,303.0,0,[0.8 0.  0.  0. ],
0,2,1,38,0,7,0,1.2999999999999992,12.999999999999991,381.0,1,[0.8 0.  0.  0. ],
0,0,1,39,0,7,1,1.1999999999999993,11.999999999999993,363.0,0,[0 0 0 0],
0,1,1,39,0,7,0,1.2,11.999999999999998,315.0,1,[0.8 0.  0.  0. ],
0,2,1,39,0,7,0,1.199999999999999,11.99999999999999,393.0,0,[0 0 0 0],
0,0,1,40,0,7,1,1.0999999999999992,10.999999999999991,374.0,0,[0 0 0 0],
0,1,1,40,0,7,0,1.0999999999999999,10.999999999999998,326.0,0,[0 0 0 0],
0,2,1,40,0,7,0,1.099999999999999,10.99999999999999,404.0,0,[0 0 0 0],
0,0,1,41,0,7,1,0.9999999999999992,9.999999999999991,384.0,0,[0 0 0 0],
0,1,1,41,0,7,0,0.9999999999999999,9.999999999999998,336.0,0,[0 0 0 0],
0,2,1,41,0,7,0,0.999999999999999,9.99999999999999,414.0,0,[0 0 0 0],
0,0,1,42,1,7,1,0.8999999999999992,14.999999999999991,399.0,0,[0.8 0.  0.  0. ],
0,1,1,42,0,7,0,0.8999999999999999,8.999999999999998,345.0,0,[0 0 0 0],
0,2,1,42,0,7,0,0.899999999999999,8.99999999999999,423.0,0,[0 0 0 0],
0,0,1,43,0,8,1,1.399999999999999,13.99999999999999,413.0,1,[0.8 0.  0.  0. ],
0,1,1,43,1,7,0,0.7999999999999999,13.999999999999998,359.0,0,[0.8 0.  0.  0. ],
0,2,1,43,0,7,0,0.799999999999999,7.99999999999999,431.0,0,[0 0 0 0],
0,0,1,44,0,8,1,1.299999999999999,12.99999999999999,426.0,0,[0 0 0 0],
