day,baseline,egalitarian,maximin,utilitarian,all_principles,multiobjective_mp
1.0,28.996996996996998,28.46246246246246,29.135135135135137,28.93093093093093,28.954954954954953,29.135135135135137
2.0,28.474000000000004,26.926000000000005,28.51,27.844000000000005,28.132,28.672000000000004
3.0,29.532000000000004,27.618000000000006,29.376000000000005,29.04,29.07,29.670000000000005
4.0,30.236,28.466,30.188,29.948,30.152,30.637999999999998
5.0,30.652000000000005,29.338,30.567999999999998,30.370000000000005,30.538,30.831999999999997
6.0,30.426000000000005,29.076000000000008,30.336000000000006,30.312000000000005,30.672000000000004,30.816000000000003
7.0,29.702000000000005,28.688000000000002,30.086000000000002,30.122000000000007,30.362000000000002,30.536000000000005
8.0,28.912000000000003,28.372000000000003,29.506,30.058,30.472,30.310000000000006
9.0,28.557000000000002,28.169000000000004,29.14,30.588,31.002000000000002,30.409
10.0,30.0696248509826,29.893816189722056,30.804978040486468,33.34682922582641,33.45384625950985,31.95663154031722
11.0,30.946837165984405,30.2680438175234,31.44358469460392,33.41670163229125,33.6212578056675,32.37562676608346
12.0,31.486517054872373,30.672261568467004,32.0742502489966,33.67166796649471,34.08900684306774,32.976515569336804
13.0,31.586699271966918,30.85269036273904,32.43583797945095,33.53619253013747,34.15572361206658,33.30979411133165
14.0,31.404131597985135,30.637024092514466,32.123434070518954,33.85351829992168,34.30900739606714,33.338427076870516
15.0,31.31397154155079,30.88122279810598,32.27705098019753,34.510070331703155,34.899284607420284,33.54628117404876
16.0,33.67260343606074,33.74573315719028,35.054633964573156,37.52280944975705,38.62233825263435,35.282824656059276
17.0,34.45883802718391,34.12072881670882,35.49310245248994,37.593268152011404,39.07743419694728,35.95873349982183
18.0,34.625589631340645,34.272517595374254,35.768679433310794,37.836131245935164,39.07468641781854,36.31719794655106
19.0,34.553252872757746,34.29423921902722,35.92688080559773,37.78987781312592,39.30618714462727,36.611012579094286
20.0,34.58725171002487,34.58819931303609,35.66467873220671,38.264627684629055,39.238322599289816,36.77884416125156
21.0,34.768439356743514,34.92319239395222,35.89592857734809,38.73980010025778,39.36581241401688,37.53507224866986
22.0,37.465678187069436,37.87433237252997,38.641190054000624,42.12938462868074,43.26508987886294,39.86055938141782
23.0,37.81835427007551,38.19257337598411,39.2227949425367,42.11540097657805,43.78053167774643,40.401905678984875
24.0,38.459939876925496,38.68089826748822,39.80705400066929,42.47543541427347,43.73784463742598,40.674818469614934
25.0,39.18235741774004,38.82581337741934,40.077238104228144,42.51714446474919,43.88902892768767,40.74685236526909
26.0,39.126403636466435,38.90131597658829,40.175800982533026,42.65120745024334,43.89695050374607,41.4674805306979
27.0,39.08837926992244,39.49093978062744,40.342706193950235,43.2054252249627,44.429575872705364,41.61112255302619
28.0,41.69125187947712,42.611798797400745,42.20628312923772,46.57157678354564,48.17467813817417,43.80544844999275
29.0,42.019581197370314,42.648860014425956,42.89025760473133,46.86049422438079,48.501565405934215,44.215901247345506
30.0,42.62556094215808,43.00800754741541,43.16606454627144,46.934459686023665,48.627703465334406,44.78497659370031
31.0,42.63433898795655,43.16723461696226,43.37599226453275,47.02395968768214,48.82827675257687,44.78939968522727
32.0,42.88304372554558,42.98352121159816,43.62813362778924,47.14515498590673,48.82351824867663,45.101672921887655
33.0,43.29416994893837,43.645472569621475,44.255951034913494,48.10963696546574,49.338593994907455,45.74260897658771
34.0,46.32478858953682,46.401543496358,47.313737552109735,50.75511394528549,51.591056979587734,47.878302411794216
35.0,46.792069622601744,46.4332519624418,47.79031526947503,51.29934064776786,52.045487734028235,48.63129759022124
