,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms
0,0,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,1,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,2,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,3,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,0,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,1,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,2,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,3,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,0,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,1,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,2,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,3,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,0,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,1,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,2,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,3,1,5,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,0,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,1,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,2,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,3,1,6,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,0,1,7,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,1,1,7,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,2,1,7,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,3,1,7,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,0,1,8,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,1,1,8,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,2,1,8,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,3,1,8,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,0,1,9,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,0,0,2
0,1,1,9,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,0,0,2
0,2,1,9,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,0,0,2
0,3,1,9,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,1,-0.1,3
0,0,1,10,0,0,0,0,0,36.0,0,-1,3
0,1,1,10,0,0,0,0,0,36.0,0,-1,3
0,2,1,10,0,0,0,0,0,36.0,1,-1.1,3
0,3,1,10,0,0,0,0,0,36.0,1,-1.1,4
0,0,2,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,1,2,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,2,2,1,0,0,0,0.7000000000000001,7.0,15.0,4,-0.1,1
0,3,2,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,0,2,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,1,2,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,2,2,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,2
0,3,2,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,0,2,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,1,2,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,2,2,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,2
0,3,2,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,0,2,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,1,2,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,2,2,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,3
0,3,2,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,0,2,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,1,2,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,2,2,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,3
0,3,2,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,0,2,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,1,2,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,2,2,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,3
0,3,2,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,0,2,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,1,2,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,2,2,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,3
0,3,2,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,0,2,8,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,0,0,2
0,1,2,8,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,0,0,2
0,2,2,8,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,0,0,3
0,3,2,8,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,36.0,1,-0.1,3
0,0,2,9,0,0,0,0,0,36.0,0,-1,3
0,1,2,9,0,0,0,0,0,36.0,0,-1,2
0,2,2,9,0,0,0,0,0,36.0,1,-1.1,4
0,3,2,9,0,0,0,0,0,36.0,1,-1.1,4
0,0,3,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,1,3,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,2,3,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,3,3,1,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,0,3,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,1,3,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,2,3,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,3,3,2,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,1
0,0,3,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,1,3,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,2,3,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,3,3,3,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,1
0,0,3,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,1,3,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,2,3,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,3,3,4,0,0,0,0.40000000000000013,4.000000000000001,30.0,0,0,2
0,0,3,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,1,3,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,2,3,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,3,3,5,0,0,0,0.30000000000000016,3.0000000000000013,33.0,0,0,2
0,0,3,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,1,3,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,2,3,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,3,3,6,0,0,0,0.20000000000000015,2.0000000000000013,35.0,0,0,2
0,0,3,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,1,3,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,2,3,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
0,3,3,7,0,0,0,0.10000000000000014,1.0000000000000013,36.0,0,0,2
