day,baseline,egalitarian,maximin,utilitarian,deon_egalitarian,deon_egalitarian_2,deon_egalitarian_loss
1,28.930465232616307,28.966483241620814,29.05352676338169,29.05652826413207,28.912456228114056,28.99649824912456,28.94847423711856
2,28.145000000000007,28.331000000000003,28.412,28.334000000000003,28.035,27.889,27.773500000000002
3,28.705000000000002,29.131,29.290000000000003,29.086000000000002,28.889,28.563,28.2525
4,29.283,30.042,29.904,29.766,29.610999999999997,29.168,29.1605
5,29.783,30.635,30.197000000000003,30.113000000000003,29.792499999999997,29.605999999999998,29.6415
6,29.983000000000004,30.934000000000005,30.43,30.088000000000005,29.7595,29.4295,29.0345
7,29.994000000000007,31.059000000000005,30.561,30.054000000000002,29.988500000000002,29.1835,28.563499999999998
8,30.149000000000004,31.187000000000005,30.668000000000003,30.077000000000005,29.941,28.655,28.066
9,30.330998829646894,31.666941706008455,30.80717407697209,29.803168946067515,30.013479358622426,28.850631704328634,28.210298373571298
10,32.05904611161261,33.75606171932403,32.030690537084396,31.049446494464945,31.543356643356642,30.65869218500798,30.111592913194727
11,32.25373134328358,34.03232916972814,32.476982097186706,31.264944649446498,32.07837648705388,30.87719298245614,30.46463878326996
12,32.64676616915423,34.379132990448205,32.64322250639386,31.719557195571955,32.07277816655004,30.869218500797448,30.198479087452473
13,32.766169154228855,34.69507714915503,33.135549872122766,31.921771217712177,32.2554233729881,30.82854864433812,30.0403041825095
14,32.79601990049751,34.98016164584864,33.16751918158568,31.986715867158672,32.301609517144854,30.577352472089313,29.720152091254754
15,33.03188336400757,35.558533686336744,33.03347880668569,31.711099372864286,32.686741951912005,30.70403677187044,29.656270453598058
16,34.793103448275865,37.812038014783525,34.63916347690363,33.490820073439416,34.452577319587625,33.144846796657376,31.702602230483272
17,35.23275862068966,37.942977824709615,34.91725352112676,33.80905752753978,34.754639175257736,33.38912133891213,32.07806691449814
18,35.33620689655172,38.276663146779306,35.25880281690141,33.8922888616891,34.546391752577314,33.15760111576011,31.977695167286242
19,35.32758620689655,38.806758183738125,35.6056338028169,34.18115055079559,34.9,33.25244072524407,31.910780669144984
20,35.78448275862069,39.102428722280884,35.36454533386504,34.391268168627654,34.892928196780616,32.994067145129016,31.48139647648295
21,35.6081566480134,39.3476615181877,35.196644114251605,34.10063286547554,35.12021419611534,33.016746912417936,31.383847630711287
22,38.26044226044226,41.35948644793152,36.97345132743363,36.135667396061265,36.69532428355957,35.81127450980392,33.57575757575758
23,38.24078624078624,41.89714285714285,37.585335018963335,36.310722100656456,37.087481146304675,35.97549019607843,33.719191919191914
24,38.53071253071253,42.04571428571428,37.76485461441213,36.51203501094091,37.05128205128205,35.884803921568626,33.686868686868685
25,38.79115479115479,42.442857142857136,38.209860935524645,37.14660831509846,37.27149321266968,35.55147058823529,33.882828282828285
26,39.07276304517683,42.79480966025378,38.091826639986316,37.355789068699345,37.58660360235539,35.209699943480295,33.30245631154328
27,39.28336109550274,43.00647403116681,38.14820909348582,37.17395549911293,37.949614906146834,34.97276195846021,33.39134199837551
28,41.524193548387096,44.56596558317399,39.64948453608247,39.069852941176464,39.40126050420169,37.515625,34.76282051282051
29,41.419354838709666,45.20076481835564,39.88659793814432,39.1660516605166,40.11764705882353,37.421875,35.31089743589744
30,41.6532258064516,45.04397705544932,39.89690721649484,39.5940959409594,40.10924369747899,37.71484375,35.22435897435898
31,42.32258064516128,45.60994263862332,39.752577319587616,39.8671586715867,40.19327731092437,38.04296875,35.29807692307693
32,42.24095200629424,46.14140348563767,39.762467591660624,39.81217593427667,40.28846375333956,37.484143585794,35.160440554253185
33,42.182416292600834,46.47812557343104,39.74572171924361,39.89629669935784,40.210958066443155,36.841837838066034,34.91690932128306
34,45.50344827586206,48.5933503836317,42.01449275362317,42.87116564417177,43.213649851632056,40.05988023952096,37.038043478260875
35,45.68275862068964,48.67519181585676,42.101449275362306,42.110429447852745,42.99703264094955,40.2874251497006,36.63586956521739
36,46.02758620689654,48.95652173913042,42.391304347826065,42.60122699386502,42.62908011869436,39.544910179640716,36.21195652173913
37,45.83448275862067,49.08439897698208,42.49275362318838,43.20245398773004,42.94955489614243,39.2814371257485,36.79891304347826
38,45.66580459770114,49.477631320086545,42.305392770688655,42.89865939559189,43.038058709157035,39.48763822049153,36.936158340755135
39,44.81506222246287,49.38979696088444,42.38176202518326,43.59661091549294,43.75381754501723,39.47917847490903,36.93609156036902
40,46.67415730337077,51.335504885993466,44.327868852459,45.63999999999997,46.04918032786885,41.8256880733945,38.09615384615385
41,47.123595505617956,51.4788273615635,44.34098360655736,46.25999999999998,45.90983606557377,42.412844036697244,39.23076923076923
42,47.77528089887638,52.28664495114004,44.334426229508175,46.99999999999998,45.93852459016394,42.596330275229356,39.36538461538462
43,47.34831460674155,52.19543973941366,44.15081967213113,46.239999999999974,46.12704918032787,42.52293577981652,38.730769230769226
44,47.23467824310519,52.2159028015542,44.17365493458988,46.116763378465485,46.393602567815805,42.09584971603321,38.29653018787799
45,46.61976269929549,52.80700322581456,44.902101587377416,46.11202263599851,46.62045040873643,42.18243074268203,38.665309187419545
46,48.842105263157876,54.06249999999997,46.77064220183483,49.36842105263155,47.26486486486486,42.79220779220779,42.77777777777778
47,48.736842105263136,54.53906249999997,46.596330275229334,49.78947368421049,48.108108108108105,43.09090909090909,42.682539682539684
48,48.631578947368396,55.10937499999997,46.17431192660548,49.263157894736814,47.91351351351352,42.753246753246756,42.61904761904761
