day,baseline,egalitarian,maximin,utilitarian
1,0.01829729271839524,0.00931230998190444,0.010026273767198751,0.013333329996664247
2,0.2856682499999997,0.16922025000000007,0.18217500000000017,0.23525400000000007
3,1.0742482500000001,0.63385425,0.585948,1.1304419999999982
4,1.529756249999999,0.9651599999999995,0.8333790000000006,1.5509939999999993
5,1.5425722499999999,1.1502322499999982,0.8451622499999987,1.61037825
6,1.71391425,1.420037999999999,0.8456459999999986,1.9000649999999988
7,1.9867019999999995,1.8452962499999999,1.1348902499999995,2.3605619999999985
8,2.7967042499999977,2.18130225,1.3767989999999992,3.2097502500000004
9,3.3894281307290726,2.4326163580448266,1.5337002805642896,3.883318100661144
10,3.8934032463874417,2.803475747454138,1.412005088925372,2.942293269427154
11,4.249504962748444,3.1442633323273874,1.6642785074665916,3.295347285576176
12,4.66235159195729,3.668194119701711,1.748000487307119,3.6584992034422146
13,5.497627946502966,4.072730374486926,2.190571424833691,4.428467477294693
14,6.360700642723358,4.353528357126003,2.4266361581883924,5.183895099467595
15,7.21751103132334,4.844292037171024,2.698378804932448,6.356624359248529
16,7.026605231866813,5.151130285266984,2.277976613228662,5.0359975969641395
17,7.942993212445489,5.941532700943005,2.5716135501388595,5.572527786974757
18,8.282370937376127,6.5740419643424595,2.8396407272862483,6.508201633285332
19,9.442058065794674,6.660264337222304,3.068159839317591,7.943730907925063
20,10.126405816488298,7.228679685417952,3.106697155978605,8.518455587235751
21,11.124103236937309,8.033910937038774,3.2578660073634835,10.638453027515697
22,11.90321704326616,7.913728808040671,2.583362767928061,8.833602267667056
23,12.67175775283881,8.516424489795906,2.9212985530965407,9.874047756991876
24,14.546764544307509,9.322726530612231,2.9027571558030307,10.222816484637201
25,16.58118068928876,10.267953061224476,2.8407127593773756,11.92294911634719
26,16.99972041513689,10.931111032331245,2.983771470410319,12.764876665096907
27,18.58329841632907,12.187506633277124,3.505974768839348,14.7071808483035
28,17.49442312695106,11.018868200446727,2.8607007475112405,11.865271545198937
29,18.971644120707555,11.96007735925622,2.6739203599390575,12.464985498563443
30,21.03448556191463,12.143096344446091,3.2874552733198628,14.223458286243355
31,23.83220603537977,12.691835235020754,3.0883196939100768,15.293909396658515
32,25.85717709011031,13.244791032695495,3.294991049005335,15.967236183253439
33,26.738020478797285,14.15842768829348,3.845627248783058,18.99580017012936
34,28.73650416171218,12.846540773542786,2.2064517258279004,17.535473672324855
35,28.959239001188994,12.586024424225343,2.6025869915283804,17.280740712860815
36,31.167895362663415,13.900124933771986,2.7797206469229074,18.28205803756254
37,32.12447086801418,15.751937781673291,2.930476790590203,21.21995558733858
38,36.85612417839205,17.082449113229757,2.7584955055458926,22.329949812071433
39,37.47462562874467,18.26524073314081,3.0738195950427794,20.847336357044735
40,41.06867819719721,14.162824008742762,2.384649287825843,15.96599999999996
41,41.46256785759363,14.777790745790368,2.3960010749798353,15.327299999999964
42,42.374952657492614,15.848698659932674,2.5413490997043717,17.717999999999954
43,46.03774775912118,16.196033910174062,3.0083203439935384,19.65839999999996
44,51.98850622064882,16.589442713930453,3.0034534145243232,18.24321390060109
45,58.337113823376306,17.815247662882815,2.9187490100777382,19.87015597618655
46,56.317636195752385,16.500732421874947,1.3203434054372447,17.49492151431205
47,56.209602954755134,16.60597229003901,1.2455390960356805,19.61495844875342
48,57.68790397045229,18.13201904296869,1.0516160255870644,19.597414589104293
49,62.53739612188349,17.969741821289002,1.0359607777123054,20.6722068328716
50,69.46999076638947,18.863513710710723,1.63193681337072,16.974348737776577
