Metric,Test Name,Value,Type
gini_days_mean,utilitarian,0.3072433209275945,Minimum
gini_days_median,optimist,0.278410008071025,Minimum
gini_days_stdev,maximin,0.1062693920285003,Minimum
gini_berries_mean,utilitarian,0.361146788721404,Minimum
gini_berries_median,optimist,0.3423469387755102,Minimum
gini_berries_stdev,maximin,0.1110900283475179,Minimum
min_days_mean,utilitarian,30.951,Maximum
min_days_median,utilitarian,21.0,Maximum
min_days_stdev,maximin,16.153802813744672,Minimum
min_berries_mean,utilitarian,4.005,Maximum
min_berries_median,baseline,2.0,Maximum
min_berries_stdev,maximin,2.6769703341968825,Minimum
max_days_mean,veto,199.278,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,veto,9.74133510406092,Minimum
max_berries_mean,baseline,45.948,Maximum
max_berries_median,baseline,46.0,Maximum
max_berries_stdev,baseline,4.476978818281291,Minimum
total_days_mean,veto,494.968,Maximum
total_days_median,optimist,519.0,Maximum
total_days_stdev,egalitarian,118.22223333813083,Minimum
total_berries_mean,veto,98.197,Maximum
total_berries_median,optimist,103.0,Maximum
total_berries_stdev,egalitarian,23.194872560829324,Minimum
episode_length_mean,veto,123.742,Maximum
episode_length_median,utilitarian,200.0,Maximum
episode_length_stdev,majoritarian,81.03498004834307,Minimum
most_common,utilitarian,6.0,
